Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
14.49               0.0067          0.3840
14.52               0.0082          0.4716
14.55               0.0098          0.5592
14.58               0.0113          0.6468
14.61               0.0128          0.7343
14.64               0.0143          0.8217
14.67               0.0159          0.9091
14.70               0.0174          0.9964
14.73               0.0189          1.0835
14.76               0.0204          1.1706
14.79               0.0219          1.2576
14.82               0.0235          1.3444
14.85               0.0250          1.4312
14.88               0.0265          1.5178
14.91               0.0280          1.6042
14.94               0.0295          1.6905
14.97               0.0310          1.7767
15.00               0.0325          1.8626
15.03               0.0340          1.9484
15.06               0.0355          2.0340
15.09               0.0370          2.1195
15.12               0.0385          2.2047
15.15               0.0399          2.2897
15.18               0.0414          2.3745
15.21               0.0429          2.4591
15.24               0.0444          2.5435
15.27               0.0458          2.6276
15.30               0.0473          2.7114
15.33               0.0488          2.7950
15.36               0.0502          2.8784
15.39               0.0517          2.9615
15.42               0.0531          3.0443
15.45               0.0545          3.1268
15.48               0.0560          3.2090
15.51               0.0574          3.2909
15.54               0.0588          3.3725
15.57               0.0602          3.4537
15.60               0.0617          3.5347
15.63               0.0631          3.6153
15.66               0.0645          3.6956
15.69               0.0659          3.7755
15.72               0.0672          3.8551
15.75               0.0686          3.9343
15.78               0.0700          4.0131
15.81               0.0714          4.0915
15.84               0.0727          4.1696
15.87               0.0741          4.2473
15.90               0.0754          4.3245
15.93               0.0768          4.4014
15.96               0.0781          4.4778
15.99               0.0794          4.5538
16.02               0.0808          4.6294
16.05               0.0821          4.7045
16.08               0.0834          4.7792
16.11               0.0847          4.8534
16.14               0.0860          4.9272
16.17               0.0872          5.0005
16.20               0.0885          5.0733
16.23               0.0898          5.1457
16.26               0.0910          5.2175
16.29               0.0923          5.2889
16.32               0.0935          5.3597
16.35               0.0947          5.4301
16.38               0.0959          5.4999
16.41               0.0972          5.5692
16.44               0.0984          5.6380
16.47               0.0995          5.7063
16.50               0.1007          5.7740
16.53               0.1019          5.8411
16.56               0.1031          5.9077
16.59               0.1042          5.9738
16.62               0.1054          6.0393
16.65               0.1065          6.1042
16.68               0.1076          6.1685
